"","SRX033482","SRX033489","SRX033479","SRX033490","SRX033480","SRX033472","SRX033485","SRX033493","SRX033475","SRX033486"
"ENSMUSG00000022807",243,498,287,534,253,312,285,576,252,307
"ENSMUSG00000022808",87,156,95,201,61,114,50,214,93,93
"ENSMUSG00000022811",124,323,182,343,162,178,148,372,162,234
"ENSMUSG00000022812",271,664,424,672,317,510,354,738,434,469
"ENSMUSG00000022814",176,417,229,423,191,214,192,507,209,226
"ENSMUSG00000022828",8,18,6,24,7,8,12,21,8,9
"ENSMUSG00000022831",37,61,44,78,37,44,24,59,34,42
"ENSMUSG00000022833",47,98,38,112,37,46,36,68,34,44
"ENSMUSG00000022840",8496,18141,11877,16864,6282,14149,9380,15184,9869,8278
"ENSMUSG00000022844",55,115,66,120,47,99,34,131,61,62
"ENSMUSG00000022847",36,79,71,86,24,38,64,96,50,46
"ENSMUSG00000022848",412,993,671,971,394,627,475,1063,582,530
"ENSMUSG00000022849",25,121,65,121,53,74,81,144,75,82
"ENSMUSG00000022853",51,109,45,111,33,48,53,108,54,47
"ENSMUSG00000022855",313,828,441,778,386,397,318,839,422,423
"ENSMUSG00000022856",174,330,162,359,118,172,185,340,150,206
"ENSMUSG00000022860",4,13,7,21,6,14,12,23,9,12
"ENSMUSG00000022861",60,133,80,126,64,65,102,121,61,67
"ENSMUSG00000022864",24,68,33,73,28,28,25,51,34,43
"ENSMUSG00000022865",61,110,81,149,71,124,81,170,89,88
"ENSMUSG00000022867",82,153,61,181,83,50,54,138,62,82
"ENSMUSG00000022883",106,191,123,216,101,128,141,189,102,132
"ENSMUSG00000022887",43,126,72,96,55,74,63,126,46,52
"ENSMUSG00000022889",21,67,27,70,33,37,32,87,33,47
"ENSMUSG00000022892",15392,31338,22118,31676,15168,20750,14624,32996,16737,16139
"ENSMUSG00000022893",18,32,21,52,20,21,20,37,12,21
"ENSMUSG00000022894",43,87,35,102,52,34,35,85,44,53
"ENSMUSG00000022899",156,250,171,364,202,265,360,824,275,447
"ENSMUSG00000022905",1653,4012,1489,4092,2060,1253,1680,4106,1829,2540
"ENSMUSG00000022913",18,30,19,29,19,22,24,34,21,11
"ENSMUSG00000022935",38,127,60,134,68,100,81,146,99,92
"ENSMUSG00000022946",1310,2656,2022,3079,1146,1720,1876,3248,1424,1637
"ENSMUSG00000022947",127,359,206,294,116,215,104,243,136,134
"ENSMUSG00000022949",6,25,10,27,3,14,11,28,14,8
"ENSMUSG00000022951",488,1183,805,1184,511,891,525,1346,683,693
"ENSMUSG00000022952",4,3,5,5,4,2,0,4,1,2
"ENSMUSG00000022962",128,299,167,289,145,176,151,325,127,170
"ENSMUSG00000022964",115,236,159,217,116,145,139,305,150,134
"ENSMUSG00000022967",11,37,16,23,23,22,10,22,20,17
"ENSMUSG00000022972",24,56,39,68,23,35,20,106,40,28
"ENSMUSG00000022978",8,22,12,19,5,14,11,16,7,9
"ENSMUSG00000022982",79,107,71,128,63,120,36,111,95,93
"ENSMUSG00000022983",432,891,666,1026,398,682,537,901,498,490
"ENSMUSG00000022987",144,293,184,268,135,212,118,285,154,135
"ENSMUSG00000022992",26,40,112,34,30,52,26,35,52,31
"ENSMUSG00000022994",397,839,990,940,440,684,643,1194,691,578
"ENSMUSG00000022995",293,491,322,625,299,220,291,528,268,355
"ENSMUSG00000022996",6,18,13,26,1,10,5,16,11,8
"ENSMUSG00000022997",3,11,34,29,6,27,12,15,14,12
"ENSMUSG00000023004",5,10,6,11,1,13,2,3,5,6
"ENSMUSG00000023011",2980,6337,5628,6911,3409,6455,5603,9533,4903,4754
"ENSMUSG00000023015",25,97,80,137,47,87,71,140,58,79
"ENSMUSG00000023017",787,1656,1232,1728,665,1291,966,1660,995,843
"ENSMUSG00000023018",1865,3811,2649,4423,1567,2851,2527,4370,2394,2299
"ENSMUSG00000023019",94,148,174,171,83,143,80,184,109,75
"ENSMUSG00000023020",230,472,382,429,170,355,246,515,288,322
"ENSMUSG00000023021",242,635,323,538,234,309,310,680,319,352
"ENSMUSG00000023022",101,190,124,230,109,97,113,183,75,103
"ENSMUSG00000023025",151,253,121,272,166,72,112,277,112,193
"ENSMUSG00000023026",19,70,70,65,29,50,42,86,39,41
"ENSMUSG00000023027",9,24,13,32,11,20,9,25,9,20
"ENSMUSG00000023031",2,10,14,16,3,6,1,16,8,8
"ENSMUSG00000023033",63,114,157,124,75,103,118,137,118,129
"ENSMUSG00000023034",827,2002,2049,2421,1195,1316,1961,3830,1364,1617
"ENSMUSG00000023043",0,3,0,6,0,0,0,1,0,0
"ENSMUSG00000023044",143,243,192,277,100,194,162,276,151,167
"ENSMUSG00000023046",137,225,303,322,137,273,225,450,210,225
"ENSMUSG00000023048",60,114,153,167,65,184,116,185,119,70
"ENSMUSG00000023050",986,2301,1542,2517,1051,1688,1332,2901,1276,1339
"ENSMUSG00000023052",9,16,4,15,5,3,11,26,1,6
"ENSMUSG00000023055",852,1681,1012,1828,778,1189,855,1808,940,866
"ENSMUSG00000023064",11,21,10,28,4,16,11,28,13,12
"ENSMUSG00000023066",46,113,49,110,45,67,47,123,58,75
"ENSMUSG00000023067",22,69,103,91,33,66,41,61,62,46
"ENSMUSG00000023068",135,279,115,293,122,94,143,327,127,162
"ENSMUSG00000023074",8,12,5,8,0,6,2,10,4,4
"ENSMUSG00000023079",142,342,229,363,122,299,235,291,234,204
"ENSMUSG00000023083",7,1,6,4,4,2,2,2,3,8
"ENSMUSG00000023084",3,10,10,15,3,16,17,11,2,7
"ENSMUSG00000023087",505,1302,711,1369,507,521,678,1316,573,757
"ENSMUSG00000023089",148,347,118,485,138,106,76,381,78,165
"ENSMUSG00000023092",57,150,100,155,55,138,107,149,61,56
"ENSMUSG00000023094",2,19,5,32,2,10,7,24,6,9
"ENSMUSG00000023104",190,410,283,416,150,350,217,458,243,234
"ENSMUSG00000023106",342,627,307,670,331,262,153,765,323,295
"ENSMUSG00000023147",23,56,42,37,21,39,20,55,30,39
"ENSMUSG00000023150",751,1494,665,1431,710,476,536,1396,844,953
"ENSMUSG00000023156",237,566,275,527,266,244,217,574,278,347
"ENSMUSG00000023169",592,1283,907,1336,771,1001,927,1582,834,825
"ENSMUSG00000023175",2141,5209,3354,5435,1855,3554,2562,5794,2583,2682
"ENSMUSG00000023192",60,123,372,155,127,264,203,336,231,175
"ENSMUSG00000023224",8,26,9,46,18,16,35,25,8,20
"ENSMUSG00000023232",4,11,26,5,5,7,19,22,5,10
"ENSMUSG00000023236",231,474,278,574,199,776,718,1480,558,794
"ENSMUSG00000023243",4,16,4,12,8,9,12,21,7,2
"ENSMUSG00000023259",36,108,59,97,34,70,51,123,62,55
"ENSMUSG00000023262",127,276,130,260,89,260,132,273,149,143
"ENSMUSG00000023272",148,303,247,300,147,160,101,369,134,131
"ENSMUSG00000023277",202,345,341,432,168,331,284,539,235,243
"ENSMUSG00000023284",4,10,6,3,3,11,1,7,14,6
"ENSMUSG00000023307",8,4,5,6,4,4,1,3,1,3
"ENSMUSG00000023330",47,121,58,148,47,82,76,183,64,87
"ENSMUSG00000023336",29,80,56,74,22,54,50,77,26,48
"ENSMUSG00000023341",3,6,5,10,2,2,1,7,3,6
"ENSMUSG00000023345",32,47,39,65,27,17,12,22,9,13
"ENSMUSG00000023348",43,85,70,102,26,52,38,74,45,39
"ENSMUSG00000023353",611,1512,1544,1678,601,1624,959,1997,1134,862
"ENSMUSG00000023367",62,131,48,161,66,71,105,169,76,88
"ENSMUSG00000023391",1,15,13,16,5,9,13,17,7,7
"ENSMUSG00000023411",3,13,15,17,5,26,26,15,17,11
"ENSMUSG00000023473",1602,2700,3055,3190,1365,3088,2860,3299,2583,2247
"ENSMUSG00000023484",4,6,4,7,0,4,1,7,2,0
"ENSMUSG00000023495",508,1141,1196,1342,498,1362,1034,1617,1066,796
"ENSMUSG00000023571",1,7,1,7,3,3,0,7,4,3
"ENSMUSG00000023707",21,55,53,61,17,46,29,62,38,27
"ENSMUSG00000023723",23,31,23,22,20,16,16,29,20,17
"ENSMUSG00000023755",4,6,5,7,4,10,9,10,4,4
"ENSMUSG00000023781",3,4,7,4,0,5,8,5,12,2
"ENSMUSG00000023800",807,2160,953,2310,923,876,935,2254,930,1078
"ENSMUSG00000023806",0,2,9,3,5,3,3,1,1,2
"ENSMUSG00000023809",110,256,187,213,118,155,122,272,128,106
"ENSMUSG00000023826",5,9,5,15,5,18,8,18,6,4
"ENSMUSG00000023827",387,672,578,704,300,521,383,905,392,440
"ENSMUSG00000023828",73,148,43,151,51,71,72,98,82,88
"ENSMUSG00000023832",20,41,17,56,14,26,11,40,11,12
"ENSMUSG00000023845",562,1028,744,1055,707,581,635,1112,836,987
"ENSMUSG00000023846",223,423,163,443,132,201,121,344,171,186
"ENSMUSG00000023852",265,486,248,629,317,239,214,676,279,338
"ENSMUSG00000023873",11,13,14,13,8,12,5,7,9,5
"ENSMUSG00000023882",2,10,7,14,8,3,2,18,8,10
"ENSMUSG00000023883",215,542,246,634,252,247,188,572,237,274
"ENSMUSG00000023885",21,78,81,52,24,73,86,160,75,35
"ENSMUSG00000023886",16,96,87,111,50,55,42,146,78,81
"ENSMUSG00000023892",16,55,18,56,22,21,19,51,21,33
"ENSMUSG00000023903",2,3,9,6,1,7,0,4,5,2
"ENSMUSG00000023904",119,313,152,430,137,197,290,411,149,226
"ENSMUSG00000023905",12,25,35,43,23,37,23,47,18,20
"ENSMUSG00000023908",52,166,124,196,84,74,58,108,50,44
"ENSMUSG00000023909",315,888,664,946,373,538,629,990,449,538
"ENSMUSG00000023911",9,35,26,46,11,42,19,45,26,23
"ENSMUSG00000023912",597,1246,576,1280,498,564,614,1476,650,719
"ENSMUSG00000023913",613,1475,436,1615,595,512,760,1791,571,1012
"ENSMUSG00000023915",658,1620,1327,1590,805,1213,1144,2153,967,1144
"ENSMUSG00000023918",18,32,14,44,8,4,3,21,7,7
"ENSMUSG00000023921",272,614,286,641,300,323,340,918,329,482
"ENSMUSG00000023923",373,933,528,997,404,507,507,908,489,507
"ENSMUSG00000023931",0,3,0,6,0,1,4,4,2,2
"ENSMUSG00000023932",33,108,54,83,49,44,39,110,31,38
"ENSMUSG00000023935",3,13,7,14,6,6,20,28,8,17
"ENSMUSG00000023938",183,437,377,472,164,379,294,528,294,245
"ENSMUSG00000023939",14,48,42,47,22,37,37,44,20,20
"ENSMUSG00000023942",191,466,297,524,157,335,246,431,215,268
"ENSMUSG00000023945",326,648,143,649,224,233,299,481,231,366
"ENSMUSG00000023947",12,24,22,33,13,21,14,38,21,31
"ENSMUSG00000023949",7,9,21,20,4,20,11,29,13,12
"ENSMUSG00000023952",619,1219,1027,1268,477,1022,762,1431,762,609
"ENSMUSG00000023953",53,108,63,109,44,64,59,147,46,68
"ENSMUSG00000023959",121,256,149,240,101,113,103,269,123,139
"ENSMUSG00000023960",878,2386,981,2689,1020,1236,841,2696,1114,1228
"ENSMUSG00000023961",452,1097,456,999,528,258,277,731,358,409
"ENSMUSG00000023963",21,50,10,43,26,9,13,32,6,10
"ENSMUSG00000023964",9,13,2,29,9,34,20,30,7,9
"ENSMUSG00000023965",390,915,548,875,525,506,420,868,534,565
"ENSMUSG00000023966",21,19,15,29,14,21,19,31,14,11
"ENSMUSG00000023968",13,27,22,35,6,30,19,29,11,26
"ENSMUSG00000023971",66,171,140,177,56,121,91,216,89,78
"ENSMUSG00000023972",127,236,225,262,91,287,179,259,184,141
"ENSMUSG00000023977",1154,2452,1502,2485,1166,1428,1302,2812,1202,1468
"ENSMUSG00000023979",3,5,4,9,4,1,2,1,4,2
"ENSMUSG00000023980",121,300,207,313,110,224,165,354,134,106
"ENSMUSG00000023988",151,342,263,351,143,309,196,393,216,180
"ENSMUSG00000023992",33,72,67,73,22,34,22,50,25,28
"ENSMUSG00000023993",3,2,5,4,2,4,2,2,3,1
"ENSMUSG00000024002",320,785,650,888,347,596,540,1030,476,476
"ENSMUSG00000024011",3,9,1,10,1,9,7,11,4,11
"ENSMUSG00000024014",15,27,43,32,29,34,26,48,24,36
"ENSMUSG00000024026",237,659,331,668,292,746,483,1499,562,492
"ENSMUSG00000024027",10,24,8,18,5,30,25,16,13,11
"ENSMUSG00000024030",111,233,175,217,105,177,138,213,130,96
"ENSMUSG00000024033",14,19,27,34,9,24,16,39,20,8
"ENSMUSG00000024036",52,117,58,111,33,118,63,134,82,64
"ENSMUSG00000024037",127,307,256,294,118,276,199,358,199,139
"ENSMUSG00000024038",92,297,137,357,113,190,141,318,128,123
"ENSMUSG00000024042",143,331,321,493,223,341,313,517,265,290
"ENSMUSG00000024043",0,9,0,5,2,12,4,3,0,9
"ENSMUSG00000024044",1267,2844,1308,3128,1266,1268,1190,3006,1117,1392
"ENSMUSG00000024045",937,1900,980,1965,851,963,718,1999,942,977
"ENSMUSG00000024049",21,51,21,55,20,8,13,16,13,12
"ENSMUSG00000024053",44,101,74,100,36,54,33,70,50,19
"ENSMUSG00000024059",498,1171,478,1157,457,744,579,1176,612,630
"ENSMUSG00000024063",32,43,29,57,17,27,37,59,30,27
"ENSMUSG00000024064",43,80,126,95,37,66,61,92,78,49
"ENSMUSG00000024065",802,1861,1425,2007,873,864,739,1553,833,718
"ENSMUSG00000024066",7,8,9,15,8,6,6,13,2,3
"ENSMUSG00000024067",72,155,49,203,61,82,68,179,76,95
"ENSMUSG00000024068",567,1227,539,1268,589,358,532,1350,603,795
"ENSMUSG00000024069",87,178,100,200,53,108,75,195,80,91
"ENSMUSG00000024072",340,659,180,610,368,142,254,713,256,372
"ENSMUSG00000024073",2133,4488,2781,4447,2304,2636,2530,5025,2507,3398
"ENSMUSG00000024074",274,648,557,694,308,606,457,766,446,463
"ENSMUSG00000024076",13,39,26,51,12,21,11,17,8,7
"ENSMUSG00000024077",287,614,264,537,312,303,201,531,293,332
"ENSMUSG00000024078",148,351,152,304,145,156,111,423,154,205
"ENSMUSG00000024079",37,65,34,69,41,20,30,96,44,43
"ENSMUSG00000024081",318,917,381,814,438,353,246,878,408,437
"ENSMUSG00000024082",238,631,286,674,286,290,197,603,228,289
"ENSMUSG00000024083",5086,11971,6226,11440,5428,6213,4599,13149,5379,6480
"ENSMUSG00000024084",95,229,89,238,83,79,62,156,72,81
"ENSMUSG00000024085",483,790,384,784,435,366,362,825,358,555
"ENSMUSG00000024087",16,39,9,41,23,7,30,30,9,21
"ENSMUSG00000024091",1077,2142,1019,2259,1130,962,1074,2380,1115,1477
"ENSMUSG00000024095",393,976,698,944,428,695,366,922,604,657
"ENSMUSG00000024096",774,1616,1171,1666,863,1010,853,1941,1009,985
"ENSMUSG00000024097",227,412,227,446,187,173,120,436,228,222
"ENSMUSG00000024098",345,684,323,699,331,365,376,808,380,516
"ENSMUSG00000024099",277,640,229,696,321,225,256,654,254,346
"ENSMUSG00000024101",145,304,257,402,141,352,217,405,211,186
"ENSMUSG00000024104",1095,2029,1083,2288,990,1304,1224,2925,1249,1374
"ENSMUSG00000024107",2,11,3,15,4,3,5,5,7,6
"ENSMUSG00000024114",0,1,0,2,0,20,12,30,16,8
"ENSMUSG00000024118",14,30,22,31,13,25,26,50,16,15
"ENSMUSG00000024121",3,23,6,29,13,0,0,0,0,1
"ENSMUSG00000024127",2821,6797,3404,6780,3283,3275,3686,8612,3559,4455
"ENSMUSG00000024132",69,181,89,170,61,76,74,173,52,61
"ENSMUSG00000024134",2,2,8,4,6,3,15,2,2,2
"ENSMUSG00000024136",8,14,7,13,9,9,7,9,4,1
"ENSMUSG00000024137",230,535,416,553,151,353,277,509,242,205
"ENSMUSG00000024140",870,1910,1608,2112,737,1234,969,1833,1066,934
"ENSMUSG00000024142",249,566,324,651,170,387,328,648,285,257
"ENSMUSG00000024143",30,71,48,100,34,60,29,94,33,48
"ENSMUSG00000024145",28,96,32,75,59,42,32,106,27,68
"ENSMUSG00000024146",13,26,21,43,29,9,14,31,15,24
"ENSMUSG00000024150",1,4,6,2,3,1,1,2,4,1
"ENSMUSG00000024151",230,631,313,568,299,294,224,673,302,318
"ENSMUSG00000024158",74,229,143,240,56,170,90,242,96,84
"ENSMUSG00000024160",6,12,11,16,3,0,8,11,1,3
"ENSMUSG00000024164",0,1,7,9,0,7,11,11,4,4
"ENSMUSG00000024165",12,15,7,23,15,5,15,17,4,16
"ENSMUSG00000024168",20,52,53,60,20,29,27,61,27,33
"ENSMUSG00000024172",35,77,49,67,36,55,74,117,45,70
"ENSMUSG00000024174",62,113,40,98,24,30,18,58,25,36
"ENSMUSG00000024175",4,10,5,28,0,5,19,15,3,5
"ENSMUSG00000024176",508,1263,805,1406,557,787,701,1227,605,641
"ENSMUSG00000024177",5,11,12,4,3,5,5,9,6,7
"ENSMUSG00000024180",68,127,108,164,42,117,86,160,95,82
"ENSMUSG00000024182",212,469,276,568,197,410,247,583,255,233
"ENSMUSG00000024190",79,195,137,242,106,129,171,347,117,115
"ENSMUSG00000024193",242,495,405,577,185,420,439,556,355,290
"ENSMUSG00000024194",207,309,192,364,176,218,242,371,125,206
"ENSMUSG00000024197",82,186,127,199,63,134,91,195,91,66
"ENSMUSG00000024206",26,75,47,80,33,47,36,72,24,34
"ENSMUSG00000024208",30,91,37,71,39,28,21,76,32,18
"ENSMUSG00000024210",3,8,7,10,5,16,13,24,9,14
"ENSMUSG00000024211",1,4,4,6,0,1,2,10,3,3
"ENSMUSG00000024212",653,1396,1204,1541,536,1159,1070,1638,869,880
"ENSMUSG00000024218",65,136,80,149,59,79,64,151,75,57
"ENSMUSG00000024219",223,537,494,540,245,521,463,680,347,379
"ENSMUSG00000024227",33,51,23,53,24,26,50,99,34,32
"ENSMUSG00000024228",56,122,60,144,72,44,67,163,61,82
"ENSMUSG00000024232",22,41,31,47,18,15,23,40,12,13
"ENSMUSG00000024234",186,368,148,426,194,152,258,419,217,320
"ENSMUSG00000024235",11,34,25,38,12,11,13,27,10,17
"ENSMUSG00000024241",661,1610,788,1881,798,767,840,1872,1008,1150
"ENSMUSG00000024242",409,1027,590,1094,535,489,521,1436,557,705
"ENSMUSG00000024245",483,882,963,970,582,577,664,1593,625,747
"ENSMUSG00000024246",33,86,48,74,19,35,32,95,42,43
"ENSMUSG00000024247",42,80,106,118,29,95,82,129,51,58
"ENSMUSG00000024248",56,154,60,183,45,9,6,13,12,10
"ENSMUSG00000024251",74,128,70,128,69,116,119,256,105,134
"ENSMUSG00000024253",78,217,85,263,70,131,62,253,93,106
"ENSMUSG00000024256",42,89,97,126,71,59,76,210,86,96
"ENSMUSG00000024258",91,247,120,257,126,125,116,229,78,124
"ENSMUSG00000024259",835,1927,782,1910,956,701,626,1967,863,1218
"ENSMUSG00000024260",403,1010,773,1193,418,689,617,1149,520,562
"ENSMUSG00000024261",2413,5005,1933,5033,2897,1605,2187,5942,2521,3445
"ENSMUSG00000024269",55,159,85,188,67,94,80,219,71,104
"ENSMUSG00000024271",412,938,524,1022,447,624,405,1163,520,503
"ENSMUSG00000024273",8,28,6,32,7,6,12,16,12,8
"ENSMUSG00000024274",7,8,1,6,5,3,4,8,6,3
"ENSMUSG00000024276",448,978,380,985,492,306,460,1089,494,739
"ENSMUSG00000024283",145,363,167,407,126,172,257,402,177,297
"ENSMUSG00000024286",1243,2510,1430,2448,1398,1268,1245,2619,1395,1822
"ENSMUSG00000024287",516,1071,431,1156,557,329,429,1111,646,670
"ENSMUSG00000024290",227,428,184,516,286,135,117,403,203,263
"ENSMUSG00000024292",48,115,61,100,44,47,72,107,38,64
"ENSMUSG00000024293",2,11,10,16,5,1,2,13,3,11
"ENSMUSG00000024298",332,746,491,739,431,360,501,663,503,632
"ENSMUSG00000024299",18,33,28,30,15,30,27,31,23,18
"ENSMUSG00000024300",35,57,32,53,24,35,24,57,24,29
"ENSMUSG00000024302",46,150,81,129,48,69,72,144,66,76
"ENSMUSG00000024308",193,424,340,504,185,362,281,420,252,232
"ENSMUSG00000024309",124,235,172,266,116,155,80,267,109,121
"ENSMUSG00000024312",77,107,92,114,51,129,133,167,101,69
"ENSMUSG00000024317",71,127,40,127,85,37,37,146,53,74
"ENSMUSG00000024319",358,777,531,813,284,675,461,1167,530,473
"ENSMUSG00000024325",153,325,293,436,133,274,177,356,217,152
"ENSMUSG00000024327",550,1260,1125,1364,559,1176,547,1449,903,540
"ENSMUSG00000024331",3,10,4,10,2,6,6,9,7,6
"ENSMUSG00000024334",3,7,8,13,1,2,2,2,1,2
"ENSMUSG00000024337",2,3,6,5,3,9,5,6,4,3
"ENSMUSG00000024338",24,22,20,30,5,23,14,22,17,12
"ENSMUSG00000024346",226,499,322,492,214,460,168,541,257,252
"ENSMUSG00000024347",460,951,656,1134,423,618,550,1064,480,474
"ENSMUSG00000024349",21,54,27,64,33,50,41,78,38,28
"ENSMUSG00000024350",213,503,272,526,226,291,296,652,291,308
"ENSMUSG00000024352",5,7,5,11,8,13,5,11,7,2
"ENSMUSG00000024357",157,338,175,385,169,312,139,339,157,146
"ENSMUSG00000024359",752,2015,890,1923,875,880,621,1993,803,949
"ENSMUSG00000024360",473,1160,494,1076,578,391,351,1202,505,569
"ENSMUSG00000024369",108,235,147,257,120,173,132,285,149,130
"ENSMUSG00000024376",28,44,22,65,16,51,48,80,42,38
"ENSMUSG00000024378",16,29,24,38,17,23,19,45,31,36
"ENSMUSG00000024380",7,23,15,30,13,11,18,34,15,18
"ENSMUSG00000024381",1358,2786,2155,3119,1401,1733,1253,3034,1587,1335
"ENSMUSG00000024382",81,176,111,163,66,118,69,200,78,87
"ENSMUSG00000024383",118,165,142,220,98,134,124,206,121,136
"ENSMUSG00000024384",253,614,298,602,260,277,257,710,305,361
"ENSMUSG00000024387",446,1117,630,1423,344,695,583,1512,475,535
"ENSMUSG00000024388",0,8,3,3,0,2,2,7,1,0
"ENSMUSG00000024389",11,22,17,32,16,13,12,28,4,9
"ENSMUSG00000024391",1,4,2,1,0,5,5,4,0,7
"ENSMUSG00000024392",1746,3271,2847,3604,1638,2611,2462,3740,2253,2092
"ENSMUSG00000024393",3972,7063,7335,8539,3529,6838,7954,8814,6352,5639
"ENSMUSG00000024395",76,161,150,173,76,114,144,216,110,105
"ENSMUSG00000024397",31,61,30,95,25,38,29,95,38,35
"ENSMUSG00000024399",3,6,7,2,1,3,2,4,5,1
"ENSMUSG00000024400",123,241,121,321,157,151,117,315,122,143
"ENSMUSG00000024402",2,0,0,4,0,6,1,4,3,4
"ENSMUSG00000024403",510,1128,1232,1247,684,1229,538,1478,819,579
"ENSMUSG00000024404",601,1226,595,1173,595,699,449,1317,675,651
"ENSMUSG00000024411",223,554,306,669,301,221,223,504,263,298
"ENSMUSG00000024420",215,501,227,499,144,279,218,437,208,223
"ENSMUSG00000024421",44,94,66,95,33,42,43,76,56,50
"ENSMUSG00000024422",263,555,444,573,233,364,300,647,299,351
"ENSMUSG00000024423",689,1588,818,1752,857,984,875,1951,763,981
"ENSMUSG00000024425",3154,6180,3301,6104,3665,2131,2843,6291,3233,4168
"ENSMUSG00000024427",132,338,306,404,179,183,219,470,218,262
"ENSMUSG00000024429",1377,2671,2571,3093,1277,2777,1675,3438,1883,1575
"ENSMUSG00000024430",8,32,23,32,13,22,16,37,13,15
"ENSMUSG00000024431",10,18,22,9,13,17,7,17,10,10
"ENSMUSG00000024436",6,16,5,15,5,9,20,12,6,15
"ENSMUSG00000024440",6,8,6,1,5,13,11,14,12,1
"ENSMUSG00000024442",227,542,344,622,181,372,371,692,229,278
"ENSMUSG00000024446",39,85,55,129,21,48,70,129,43,51
"ENSMUSG00000024451",65,169,166,149,62,129,77,168,88,91
"ENSMUSG00000024454",347,796,398,830,310,517,383,901,450,416
"ENSMUSG00000024459",7,13,11,21,4,10,9,36,14,10
"ENSMUSG00000024462",3604,8339,4654,9180,3247,4381,4055,8549,4004,4200
"ENSMUSG00000024472",182,381,258,323,221,205,226,408,240,268
"ENSMUSG00000024474",662,1345,644,1418,762,654,352,1365,534,598
"ENSMUSG00000024477",96,200,95,193,103,102,97,216,141,152
"ENSMUSG00000024479",1297,3017,1555,3041,1676,1090,1358,3895,1605,2264
"ENSMUSG00000024480",3,6,1,4,4,1,4,3,3,0
"ENSMUSG00000024481",0,1,1,0,0,2,3,10,2,8
"ENSMUSG00000024486",203,332,209,395,192,182,123,333,145,200
"ENSMUSG00000024487",60,126,97,172,77,93,57,164,71,94
"ENSMUSG00000024491",453,869,385,921,507,301,332,903,495,560
"ENSMUSG00000024493",369,929,467,940,431,564,371,1051,528,465
"ENSMUSG00000024498",515,963,556,1106,523,555,478,1103,611,604
"ENSMUSG00000024502",571,1191,607,1238,626,621,452,1321,538,720
"ENSMUSG00000024505",30,72,25,66,11,36,10,79,15,29
"ENSMUSG00000024517",3,20,10,22,12,21,22,57,10,24
"ENSMUSG00000024521",12,32,22,35,26,6,6,26,15,12
"ENSMUSG00000024524",4053,9154,3606,9345,3684,4268,3649,8035,4276,4814
"ENSMUSG00000024525",19,82,57,83,34,63,39,101,29,36
"ENSMUSG00000024526",1,19,10,24,8,25,15,42,14,17
"ENSMUSG00000024527",790,1578,1043,1563,827,1107,748,1853,1022,965
"ENSMUSG00000024528",97,187,105,234,64,81,75,230,103,105
"ENSMUSG00000024530",229,422,316,439,165,306,159,370,251,181
"ENSMUSG00000024533",1677,3835,1884,4282,1776,1768,1911,4851,1951,2541
"ENSMUSG00000024534",79,193,58,214,57,85,128,221,66,103
"ENSMUSG00000024535",46,95,44,106,21,42,45,126,46,57
"ENSMUSG00000024537",72,176,71,183,78,85,82,196,80,100
"ENSMUSG00000024538",5,14,6,17,3,8,24,15,6,12
"ENSMUSG00000024539",40,84,50,82,60,30,21,108,63,61
"ENSMUSG00000024542",68,124,52,139,71,43,73,149,64,58
"ENSMUSG00000024544",278,532,484,576,269,330,247,570,443,374
"ENSMUSG00000024548",205,425,359,462,247,322,394,619,344,394
"ENSMUSG00000024552",0,0,6,4,0,9,4,8,0,1
"ENSMUSG00000024553",16,33,11,28,5,23,13,14,14,16
"ENSMUSG00000024556",423,974,385,845,390,328,331,849,386,409
"ENSMUSG00000024558",16,37,35,23,5,11,12,20,8,21
"ENSMUSG00000024560",370,782,626,885,299,620,397,842,426,336
"ENSMUSG00000024561",204,348,335,363,149,294,219,394,227,217
"ENSMUSG00000024563",233,482,257,466,273,273,205,633,277,322
"ENSMUSG00000024565",68,138,157,190,70,111,109,187,89,89
"ENSMUSG00000024566",142,194,127,195,138,114,99,223,145,157
"ENSMUSG00000024570",175,391,267,463,186,353,227,449,238,197
"ENSMUSG00000024576",902,1852,1278,1855,1006,1099,956,2154,1123,1289
"ENSMUSG00000024578",1,3,5,1,0,2,5,0,4,0
"ENSMUSG00000024579",12,37,48,29,13,30,26,33,26,35
"ENSMUSG00000024580",23,46,22,42,18,16,22,37,29,22
"ENSMUSG00000024583",409,927,425,924,461,346,429,1116,453,738
"ENSMUSG00000024587",1612,3248,1978,3495,1803,1805,1313,3779,1705,1716
"ENSMUSG00000024588",388,964,565,1072,384,558,443,1160,523,498
"ENSMUSG00000024589",1188,2484,1457,2402,1076,1422,1233,2536,1363,1443
"ENSMUSG00000024590",20,46,35,53,9,26,31,47,21,17
"ENSMUSG00000024592",1,5,3,1,4,0,3,8,3,5
"ENSMUSG00000024593",113,209,195,263,101,185,137,231,128,147
"ENSMUSG00000024594",171,351,253,346,175,274,186,382,227,200
"ENSMUSG00000024597",1114,2200,1007,2255,1238,639,665,1877,850,1109
"ENSMUSG00000024598",23,50,51,80,18,61,51,92,40,56
"ENSMUSG00000024601",183,393,198,402,132,223,156,278,210,185
"ENSMUSG00000024603",790,2112,1057,2125,921,1085,1104,2620,1209,1289
"ENSMUSG00000024608",0,9,6,12,4,13,3,7,1,1
"ENSMUSG00000024610",19,24,22,56,13,24,45,28,25,31
"ENSMUSG00000024613",202,307,288,397,170,275,275,409,237,200
